pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_mnum
Kepler-92,Kepler-92 d,Transit,3,49.35680000,0.00240000,-0.00240000,0,,,,,0.070000,0.340000,-0.040000,0,,,,,,,,,0.184,0.005,-0.005,0,484.62,5.48,-5.48,0,5883.00,,,0,,,,,,,,,0
Kepler-920,Kepler-920 b,Transit,2,6.53192704,0.00002296,-0.00002296,0,,,,,,,,,,,,,,,,,0.216,0.020,-0.014,0,926.00,79.37,-60.10,0,5403.00,62.18,-59.44,0,0.89,0.04,-0.05,0,,,,,0
Kepler-920,Kepler-920 c,Transit,2,100.82741130,0.00070630,-0.00070630,0,,,,,,,,,,,,,,,,,0.339,0.052,-0.025,0,926.00,79.37,-60.10,0,5403.00,62.18,-59.44,0,0.89,0.04,-0.05,0,,,,,0
Kepler-921,Kepler-921 b,Transit,1,51.30063400,0.00067280,-0.00067280,0,,,,,,,,,,,,,,,,,0.256,0.029,-0.065,0,847.00,98.37,-73.31,0,5663.00,69.96,-61.96,0,0.93,0.05,-0.06,0,,,,,0
Kepler-922,Kepler-922 b,Transit,1,0.93846683,0.00000095,-0.00000095,0,,,,,,,,,,,,,,,,,0.127,0.016,-0.010,0,558.00,68.30,-45.13,0,5671.00,64.06,-65.37,0,0.95,0.05,-0.05,0,,,,,0
Kepler-923,Kepler-923 b,Transit,1,6.93366476,0.00003537,-0.00003537,0,,,,,,,,,,,,,,,,,0.123,0.026,-0.017,0,966.00,190.25,-130.67,0,5988.00,82.20,-64.57,0,1.11,0.07,-0.04,0,,,,,0
Kepler-924,Kepler-924 b,Transit,1,61.03701170,0.00033660,-0.00033660,0,,,,,,,,,,,,,,,,,0.274,0.099,-0.054,0,995.00,354.67,-155.09,0,6167.00,124.02,-161.28,0,1.14,0.15,-0.09,0,,,,,0
Kepler-925,Kepler-925 b,Transit,1,33.86785310,0.00017040,-0.00017040,0,,,,,,,,,,,,,,,,,0.209,0.059,-0.019,0,623.00,27.48,-27.64,0,4673.00,62.23,-104.92,0,0.77,0.03,-0.04,0,,,,,0
Kepler-926,Kepler-926 b,Transit,1,52.06886010,0.00019030,-0.00019030,0,,,,,,,,,,,,,,,,,0.206,0.051,-0.021,0,771.00,188.40,-78.88,0,5806.00,100.39,-125.66,0,1.01,0.06,-0.06,0,,,,,0
Kepler-927,Kepler-927 b,Transit,1,9.11499030,0.00003533,-0.00003533,0,,,,,,,,,,,,,,,,,0.153,0.036,-0.013,0,879.00,201.62,-80.24,0,5743.00,85.68,-106.02,0,0.99,0.05,-0.05,0,,,,,0
